60, 31, 14536, 29, 23998, 31, 15574
40, 21, 7070, 21, 13605, 21, 8331
35, 19, 5684, 18, 10856, 18, 7684
17, 12, 3075, 12, 5424, 12, 3155
33, 19, 5010, 18, 10483, 19, 6471
93, 59, 29471, 57, 49146, 57, 36159
93, 56, 26448, 52, 47768, 56, 32092
9, 8, 1845, 7, 2897, 8, 1902
61, 38, 13145, 37, 24351, 38, 19058
94, 50, 23270, 48, 44990, 50, 28695
67, 39, 14227, 35, 26757, 38, 16654
61, 31, 11737, 30, 23751, 31, 15017
35, 17, 5113, 16, 10998, 17, 14223
69, 43, 17188, 39, 29376, 42, 19406
21, 8, 2504, 7, 5423, 8, 2867
104, 66, 31445, 66, 56746, 66, 42104
61, 37, 13003, 37, 24473, 37, 17702
14, 9, 2206, 9, 3885, 9, 2464
66, 40, 14325, 39, 27019, 39, 19258
96, 59, 30237, 57, 50402, 58, 37576
102, 51, 27147, 49, 49335, 51, 31659
78, 44, 19428, 43, 34683, 44, 26840
46, 26, 7937, 24, 16348, 25, 9707
10, 5, 1701, 5, 2940, 5, 1793
61, 35, 12120, 33, 24050, 36, 14528
88, 47, 22971, 45, 41505, 47, 29173
53, 28, 9779, 26, 19624, 28, 11246
40, 25, 16396, 23, 14173, 25, 8198
83, 54, 25506, 52, 41745, 54, 28015
38, 19, 5413, 18, 11323, 19, 7533
31, 17, 4832, 17, 9814, 17, 5819
49, 30, 9615, 30, 18275, 30, 12255
13, 7, 1951, 6, 3546, 7, 2115
9, 6, 1692, 6, 2586, 6, 1681
43, 23, 7391, 22, 14548, 22, 9947
31, 13, 4476, 13, 9403, 13, 5128
89, 52, 23588, 49, 42372, 52, 29845
26, 13, 3877, 13, 7774, 13, 4203
103, 64, 31277, 63, 55452, 63, 38107
83, 46, 21441, 46, 40639, 46, 23577
45, 22, 7443, 21, 14932, 22, 10304
42, 24, 7233, 22, 14085, 23, 9224
63, 37, 13529, 34, 25027, 38, 16098
70, 40, 14952, 37, 28945, 40, 18520
12, 8, 1960, 7, 3426, 8, 2068
76, 50, 20047, 48, 40528, 50, 25079
90, 46, 20910, 45, 41032, 45, 26593
72, 45, 17672, 43, 33383, 44, 19504
82, 45, 20486, 44, 38084, 44, 25841
61, 35, 12363, 34, 24455, 35, 16513
